DepMap ID,BRCA1 log2(TPM+1) Expression 21Q4 Public,5-fluorouracil (GDSC2:1073) ln(IC50) (μM) Drug sensitivity IC50 (Sanger GDSC2),Cell Line Name,Primary Disease,Lineage
ACH-000233,4.70376517879341,0.6240496208690276,DEL,Lymphoma,Lymphocyte
ACH-000006,5.453188309548227,0.915175100309196,MONOMAC6,Leukemia,Blood
ACH-001709,5.419201773848765,2.65010687338029,WSUNHL,Lymphoma,Lymphocyte
ACH-000338,5.6019935812489985,2.839365971817628,SR786,Lymphoma,Lymphocyte
ACH-000055,5.2505826647875375,3.2231518472186034,D283MED,Brain Cancer,Central Nervous System
ACH-001703,2.250961573533219,3.5255796975410836,VAL,Lymphoma,Lymphocyte
ACH-000943,4.2757520488285286,4.675625376035779,RKO,Colon/Colorectal Cancer,Colorectal
ACH-000070,4.991408466764788,3.5108887336289767,697,Leukemia,Blood
ACH-000226,5.0600473836699384,-0.2577183550837552,SUPM2,Lymphoma,Lymphocyte
ACH-000303,5.180307019969433,2.4112005481606724,SNU5,Gastric Cancer,Gastric
ACH-000336,3.7918140711618262,2.2362216034987954,OCIAML3,Leukemia,Blood
ACH-001338,6.519793486241101,4.7299403063912315,CHP134,Neuroblastoma,Peripheral Nervous System
ACH-000432,4.8801957289430975,2.757396002188893,BV173,Leukemia,Blood
ACH-000056,5.20633064787105,2.441471127778664,DOHH2,Lymphoma,Lymphocyte
ACH-001106,5.324810603420484,4.241214344170763,KOPN8,Leukemia,Blood
ACH-000806,5.523875551328519,1.1833536443968051,L540,Lymphoma,Lymphocyte
ACH-000099,4.634012356402116,4.5899793664764585,SIMA,Neuroblastoma,Peripheral Nervous System
ACH-000697,2.4436066514756147,-0.6532931213717116,A3KAW,Lymphoma,Lymphocyte
ACH-000362,4.685940148445976,0.5656831003575356,MOLM13,Leukemia,Blood
ACH-000045,4.546585829008102,-0.6081348186390721,MV411,Leukemia,Blood
ACH-000106,3.9011082430145114,2.4182900840974018,JVM2,Lymphoma,Lymphocyte
ACH-000874,3.8923910259134034,4.451309881681904,RS411,Leukemia,Blood
ACH-000693,4.414135532984451,4.864148191458711,KYSE180,Esophageal Cancer,Esophagus
ACH-000101,5.546585829008102,4.833053386759956,KE37,Leukemia,Blood
ACH-000817,5.11603199344711,3.6683835660370896,RPMI8226,Myeloma,Plasma Cell
ACH-000660,6.450716388718072,3.906996104270045,SUDHL5,Lymphoma,Lymphocyte
ACH-000373,5.054848476995621,2.7754084833462995,SKM1,Leukemia,Blood
ACH-000938,5.884597920990063,3.813111046926666,NALM6,Leukemia,Blood
ACH-000157,4.794415866350106,2.453977972927025,A4FUK,Lymphoma,Lymphocyte
ACH-000168,4.5185351389821795,2.475046884639025,NOMO1,Leukemia,Blood
ACH-000073,5.497931651896279,4.724329061927513,GRANTA519,Lymphoma,Lymphocyte
ACH-000053,5.313608657030487,0.3210822129407036,KARPAS299,Lymphoma,Lymphocyte
ACH-000346,4.210232990095848,1.7560579963969367,JVM3,Leukemia,Blood
ACH-000059,5.617944917420585,3.1421104672621576,SUPB15,Leukemia,Blood
ACH-000920,4.900625332536066,4.425836571910599,CMLT1,Leukemia,Blood
